ID,Title,Language,Release Date,Subjects,Categories,Reading Ease
25,The 1991 CIA World Factbook,English,"Feb 1, 1992","['World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'Political statistics -- Handbooks, manuals, etc.']","['G: Geography, Anthropology, Recreation']",11.746890886401786
26,Paradise Lost,English,"Feb 1, 1992","['Fall of man -- Poetry', 'Adam (Biblical figure) -- Poetry', 'Eve (Biblical figure) -- Poetry', 'Bible. Genesis -- History of Biblical events -- Poetry']",['PR: Language and Literatures: English literature'],48.11976101074585
27,Far from the Madding Crowd,English,"Mar 1, 1992","['Didactic fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Pastoral fiction', 'Farm life -- Fiction', 'Women farmers -- Fiction', 'Wessex (England) -- Fiction']",['PR: Language and Literatures: English literature'],70.83171884553586
28,"The Fables of Aesop Selected, Told Anew, and Their History Traced",English,"Mar 1, 1992","[""Aesop's fables -- Adaptations"", 'Fables, Greek -- Adaptations']","['PA: Language and Literatures: Classical Languages and Literature', 'PZ: Language and Literatures: Juvenile belles lettres']",70.31043646201397
29,The 1990 United States Census,English,"Apr 1, 1992","['United States -- Population -- Statistics', 'United States -- Census', 'Housing -- United States -- Statistics']",['HA: Social sciences: Statistics'],62.88100345943366
30,"The Bible, King James Version, Complete",English,"Apr 1, 1992",['Bible'],"['BS: Philosophy, Psychology, Religion: Christianity: The Bible, Old and New Testament']",70.86176381071331
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,English,"Mar 8, 2006","['Tragedies (Drama)', 'Antigone (Mythological character) -- Drama', 'Oedipus (Greek mythological figure) -- Drama', 'Greek drama (Tragedy) -- Translations into English']",['PA: Language and Literatures: Classical Languages and Literature'],77.35284891110813
32,Herland,English,"Jun 27, 2008","['Utopias -- Fiction', 'Women -- Fiction', 'Utopian fiction', 'Black humor']",['PS: Language and Literatures: American and Canadian literature'],68.69200686435344
33,The Scarlet Letter,English,"Jun 1, 1992","['Adultery -- Fiction', 'Historical fiction', 'Revenge -- Fiction', 'Psychological fiction', 'Married women -- Fiction', 'Clergy -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Illegitimate children -- Fiction', 'Women immigrants -- Fiction', 'Puritans -- Fiction', 'Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],58.21447715690098
34,Zen and the Art of the Internet,English,"Jun 1, 1992","['Internet', 'Computer networks', 'Information networks', 'Information retrieval']","['TK: Technology: Electrical, Electronics and Nuclear engineering']",48.433638996683584
35,The Time Machine,English,"Oct 2, 2004","['Science fiction', 'Time travel -- Fiction', 'Dystopias -- Fiction']",['PR: Language and Literatures: English literature'],67.95568119836514
36,The War of the Worlds,English,"Oct 1, 2004","['Science fiction', 'War stories', 'Martians -- Fiction', 'Mars (Planet) -- Fiction', 'Space warfare -- Fiction', 'Imaginary wars and battles -- Fiction', 'Life on other planets -- Fiction']",['PR: Language and Literatures: English literature'],67.24682633253677
37,The 1990 United States Census [2nd],English,"Aug 1, 1992","['United States -- Population -- Statistics', 'United States -- Census', 'Housing -- United States -- Statistics']",['HA: Social sciences: Statistics'],62.64689767941593
38,"The Jargon File, Version 2.9.10, 01 Jul 1992",English,"Aug 1, 1992","['Electronic data processing -- Terminology -- Humor', 'Computers -- Humor', 'Computers -- Slang -- Dictionaries']","['TK: Technology: Electrical, Electronics and Nuclear engineering']",54.08130896402224
39,Hitchhiker's Guide to the Internet,English,"Sep 1, 1992","['Internet', 'Computer networks']","['TK: Technology: Electrical, Electronics and Nuclear engineering']",50.64844444444449
40,NorthWestNet User Services Internet Resource Guide (NUSIRG),English,"Sep 1, 1992",['Internet'],"['TK: Technology: Electrical, Electronics and Nuclear engineering']",
41,The Legend of Sleepy Hollow,English,"Jun 27, 2008","['Ghosts -- Fiction', 'New York (State) -- History -- 1775-1865 -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],47.893839186395795
42,The Strange Case of Dr. Jekyll and Mr. Hyde,English,"Oct 1, 1992","['Science fiction', 'Horror tales', 'London (England) -- Fiction', 'Physicians -- Fiction', 'Psychological fiction', 'Self-experimentation in medicine -- Fiction', 'Multiple personality -- Fiction']",['PR: Language and Literatures: English literature'],67.29635271063567
43,The Strange Case of Dr. Jekyll and Mr. Hyde,English,"Jun 27, 2008","['Science fiction', 'Horror tales', 'London (England) -- Fiction', 'Physicians -- Fiction', 'Psychological fiction', 'Self-experimentation in medicine -- Fiction', 'Multiple personality -- Fiction']",['PR: Language and Literatures: English literature'],67.38569760484488
44,The Song of the Lark,English,"Jun 27, 2008","['Musical fiction', 'Young women -- Fiction', 'Bildungsromans', 'Chicago (Ill.) -- Fiction', 'Swedish Americans -- Fiction', 'Colorado -- Fiction', 'Opera -- Fiction', 'Children of clergy -- Fiction', 'Women singers -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],77.29062049320441
45,Anne of Green Gables,English,"Jun 27, 2008","['Orphans -- Fiction', 'Islands -- Fiction', 'Friendship -- Fiction', 'Bildungsromans', 'Girls -- Fiction', 'Country life -- Prince Edward Island -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Canada -- History -- 1867-1914 -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction']",['PZ: Language and Literatures: Juvenile belles lettres'],75.88739191777486
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,English,"Aug 11, 2004","['Christmas stories', 'London (England) -- Fiction', 'Poor families -- Fiction', 'Ghost stories', 'Misers -- Fiction', 'Sick children -- Fiction', 'Scrooge, Ebenezer (Fictitious character) -- Fiction']",['PR: Language and Literatures: English literature'],74.59146640010499
